EXPOCODE,Cruise_ID,Sample_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,Depth,Temperature,Salinity,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag
06SN20201204,SO279,1,2020,12,8,22:24:00,47.25180555555555,-10.181111111111113,3,13.4435,35.756005,2.0,2121.4392256048595,2.0,2346.147797594931,2.0,1.070709931989271,3.0,0.1353603213706166,2.0,1.6934646737832213,2.0,0.1562973328259964,2.0,1.8497620066092175,2.0,0.277050414264565,2.0
06SN20201204,SO279,2,2020,12,9,08:10:00,47.43888888888889,-10.514444444444443,3,13.7981,35.81310775970076,2.0,2124.331386188247,2.0,2347.329119815846,2.0,0.8740244912316143,2.0,0.1611710900265539,2.0,1.8220610842276883,2.0,0.2259316790704563,2.0,2.047992763298145,2.0,0.199150984353053,2.0
06SN20201204,SO279,3,2020,12,9,14:08:00,47.25527777777778,-10.181944444444444,3,13.5952,35.7670398297639,2.0,2118.1713698571552,3.0,2354.611837267764,3.0,0.9782192909451316,2.0,0.2113226342808298,2.0,2.7715401712591783,2.0,0.2254432711336962,2.0,2.9969834423928745,2.0,0.4060900391479541,2.0
06SN20201204,SO279,4,2020,12,11,20:21:00,38.82972222222222,-18.49222222222222,3,16.7124,36.45132964667912,2.0,2110.413801034525,2.0,2372.362977521733,2.0,0.6998159726995645,2.0,0.0788936587176961,2.0,0.6175133287286345,2.0,0.0935035955172695,2.0,0.7110169242459041,2.0,0.6418632233945901,2.0
06SN20201204,SO279,5,2020,12,12,09:27:00,36.748333333333335,-20.40194444444444,3,18.1357,36.689727370721975,2.0,2111.0808421534493,2.0,2385.012169027733,2.0,0.5854651905621229,2.0,0.0136381242393838,2.0,0.1130016008406094,2.0,0.0073061379853842,2.0,0.1203077388259936,2.0,0.1621962632755298,2.0
06SN20201204,SO279,6,2020,12,12,22:12:00,34.47138888888889,-22.183333333333334,3,19.4297,36.94018882349032,2.0,2104.934625710301,3.0,2400.3354453194597,2.0,0.5441377726818284,2.0,0.029715670665704,2.0,0.0755070320194121,2.0,0.0116914114094573,2.0,0.0871984434288695,2.0,0.2065482682337467,2.0
06SN20201204,SO279,7,2020,12,13,10:28:00,32.24194444444444,-24.18305555555556,3,20.5789,37.10145723908936,2.0,2113.538565853441,2.0,2417.659313272141,2.0,0.5413115815450944,2.0,0.0077956663408834,2.0,0.070160997067951,2.0,0.0048722914630521,2.0,0.0750332885310031,2.0,0.097445829261043,2.0
06SN20201204,SO279,8,2020,12,13,22:08:00,31.459722222222226,-24.694722222222225,3,20.7195,37.2100543619702,2.0,2119.0501757837824,2.0,2420.8012187475474,2.0,0.528620667281962,2.0,0.0082825358007311,2.0,0.0418998869919342,2.0,0.0087697437890094,2.0,0.0506696307809437,2.0,0.2616306897054502,2.0
06SN20201204,SO279,9,2020,12,14,07:28:00,31.281944444444445,-24.99805555555556,3,20.6698,37.13104193129576,2.0,2110.9666426030926,2.0,2421.806207805618,2.0,0.5305936524074604,2.0,0.0043850715074996,3.0,0.0516463977549961,2.0,0.012180754187499,2.0,0.0638271519424951,2.0,0.2192535753749835,2.0
06SN20201204,SO279,10,2020,12,15,21:43:00,31.22361111111111,-28.44,3,21.433,37.0753134615236,2.0,2118.466598502968,2.0,2430.327289291444,2.0,0.4922236551714497,2.0,0.0077976024581615,2.0,0.0614061193580224,2.0,0.0082849526117966,2.0,0.0696910719698191,2.0,0.1949400614540395,2.0
