#--- Experiment --------------------------------------------------------------------------
#NAPTRAM2020CRM6
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.0.1289   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.04 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XCF7-370-375
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	12/20/2020	12/20/2020	12/20/2020	8.005000	1.033000	57.800000	-0.016300	-0.000521	-0.001255	0.000000	0.032500	623.000000	0.969700	0.126300	0.000000	0.000000	0.039200	21.012899	2.279103	23.418348	2.000000	623.514893	53.150249	10.033650	23.278902	6.500000	623.531189	1.809169	0.092744
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
27-12-2020	10:12:00.768	0.022	8.065	8.065	31.945	241	0	623.045	OK	27-12-2020	10:12:00.768	0.022	18.808	OK
27-12-2020	10:12:30.767	30.021	8.065	8.065	31.943	242	1	623.049	OK	27-12-2020	10:12:30.767	30.021	18.822	OK
27-12-2020	10:13:00.767	60.020	8.065	8.065	31.943	242	1	623.051	OK	27-12-2020	10:13:00.767	60.020	18.824	OK
27-12-2020	10:13:30.768	90.021	8.061	8.061	31.882	242	0	623.055	OK	27-12-2020	10:13:30.768	90.021	18.838	OK
27-12-2020	10:14:00.768	120.022	8.059	8.059	31.851	242	1	623.053	OK	27-12-2020	10:14:00.768	120.022	18.844	OK
27-12-2020	10:14:30.768	150.022	8.059	8.059	31.853	242	1	623.057	OK	27-12-2020	10:14:30.768	150.022	18.860	OK
27-12-2020	10:15:00.768	180.022	8.058	8.058	31.840	243	1	623.060	OK	27-12-2020	10:15:00.768	180.022	18.867	OK
27-12-2020	10:15:30.768	210.022	8.053	8.053	31.757	243	1	623.057	OK	27-12-2020	10:15:30.768	210.022	18.872	OK
27-12-2020	10:16:00.768	240.022	8.058	8.058	31.842	243	1	623.058	OK	27-12-2020	10:16:00.768	240.022	18.884	OK
27-12-2020	10:16:30.768	270.022	8.054	8.054	31.779	243	0	623.058	OK	27-12-2020	10:16:30.768	270.022	18.894	OK
27-12-2020	10:17:00.769	300.023	8.052	8.052	31.746	243	-1	623.060	OK	27-12-2020	10:17:00.769	300.023	18.898	OK
27-12-2020	10:17:30.769	330.023	8.052	8.052	31.739	243	1	623.060	OK	27-12-2020	10:17:30.769	330.023	18.908	OK
27-12-2020	10:18:00.770	360.023	8.051	8.051	31.741	243	2	623.060	OK	27-12-2020	10:18:00.770	360.023	18.922	OK
27-12-2020	10:18:30.770	390.024	8.050	8.050	31.718	243	-1	623.063	OK	27-12-2020	10:18:30.770	390.024	18.931	OK
27-12-2020	10:19:00.770	420.024	8.052	8.052	31.755	243	0	623.063	OK	27-12-2020	10:19:00.770	420.024	18.935	OK
27-12-2020	10:19:30.770	450.024	8.051	8.051	31.739	243	-1	623.063	OK	27-12-2020	10:19:30.770	450.024	18.945	OK
27-12-2020	10:20:00.770	480.024	8.047	8.047	31.684	244	1	623.063	OK	27-12-2020	10:20:00.770	480.024	18.951	OK
27-12-2020	10:20:30.770	510.024	8.048	8.048	31.690	244	0	623.065	OK	27-12-2020	10:20:30.770	510.024	18.963	OK
27-12-2020	10:21:00.770	540.023	8.047	8.047	31.676	244	0	623.067	OK	27-12-2020	10:21:00.770	540.023	18.971	OK
27-12-2020	10:21:30.770	570.024	8.048	8.048	31.692	244	-2	623.067	OK	27-12-2020	10:21:30.770	570.024	18.982	OK
27-12-2020	10:22:00.770	600.024	8.047	8.047	31.679	244	0	623.067	OK	27-12-2020	10:22:00.770	600.024	18.994	OK
