#--- Experiment --------------------------------------------------------------------------
#NAPTRAM2020CRM6
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.0.1289   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.04 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
27-12-2020	10:12:30.858	30.112	18.822	OK
27-12-2020	10:13:00.859	60.113	18.824	OK
27-12-2020	10:13:30.860	90.114	18.838	OK
27-12-2020	10:14:00.862	120.116	18.846	OK
27-12-2020	10:14:30.863	150.117	18.860	OK
27-12-2020	10:15:00.862	180.116	18.867	OK
27-12-2020	10:15:30.863	210.117	18.871	OK
27-12-2020	10:16:00.862	240.116	18.884	OK
27-12-2020	10:16:30.862	270.116	18.895	OK
27-12-2020	10:17:00.862	300.116	18.898	OK
27-12-2020	10:17:30.862	330.116	18.908	OK
27-12-2020	10:18:00.863	360.116	18.922	OK
27-12-2020	10:18:30.862	390.116	18.931	OK
27-12-2020	10:19:00.868	420.122	18.933	OK
27-12-2020	10:19:30.863	450.117	18.945	OK
27-12-2020	10:20:00.864	480.118	18.951	OK
27-12-2020	10:20:30.864	510.118	18.962	OK
27-12-2020	10:21:00.865	540.118	18.971	OK
27-12-2020	10:21:30.865	570.119	18.981	OK
27-12-2020	10:22:00.866	600.120	18.994	OK
27-12-2020	10:22:30.865	630.119	18.999	OK
27-12-2020	10:23:00.866	660.119	19.009	OK
27-12-2020	10:23:30.865	690.119	19.017	OK
27-12-2020	10:24:00.865	720.119	19.030	OK
27-12-2020	10:24:30.866	750.120	19.027	OK
27-12-2020	10:25:00.866	780.119	19.040	OK
27-12-2020	10:25:30.867	810.121	19.049	OK
27-12-2020	10:26:00.866	840.120	19.056	OK
27-12-2020	10:26:30.866	870.120	19.064	OK
27-12-2020	10:27:00.866	900.120	19.077	OK
27-12-2020	10:27:30.866	930.120	19.075	OK
27-12-2020	10:28:00.866	960.120	19.095	OK
27-12-2020	10:28:30.867	990.121	19.101	OK
27-12-2020	10:29:00.868	1020.122	19.107	OK
27-12-2020	10:29:30.868	1050.122	19.120	OK
27-12-2020	10:30:00.868	1080.122	19.124	OK
27-12-2020	10:30:30.870	1110.124	19.132	OK
27-12-2020	10:31:00.868	1140.122	19.135	OK
27-12-2020	10:31:30.869	1170.123	19.149	OK
27-12-2020	10:32:00.870	1200.124	19.156	OK
27-12-2020	10:32:30.871	1230.125	19.157	OK
27-12-2020	10:33:00.871	1260.125	19.167	OK
27-12-2020	10:33:30.870	1290.124	19.181	OK
27-12-2020	10:34:00.870	1320.124	19.193	OK
27-12-2020	10:34:30.870	1350.124	19.193	OK
27-12-2020	10:35:00.870	1380.124	19.205	OK
27-12-2020	10:35:30.872	1410.126	19.216	OK
27-12-2020	10:36:00.871	1440.125	19.219	OK
27-12-2020	10:36:30.873	1470.127	19.230	OK
27-12-2020	10:37:00.872	1500.125	19.239	OK
27-12-2020	10:37:30.871	1530.124	19.243	OK
27-12-2020	10:38:00.871	1560.125	19.248	OK
27-12-2020	10:38:30.872	1590.126	19.255	OK
27-12-2020	10:39:00.871	1620.125	19.266	OK
27-12-2020	10:39:30.871	1650.125	19.275	OK
27-12-2020	10:40:00.872	1680.126	19.287	OK
27-12-2020	10:40:30.872	1710.125	19.298	OK
27-12-2020	10:41:00.871	1740.125	19.302	OK
27-12-2020	10:41:30.872	1770.126	19.304	OK
27-12-2020	10:42:00.871	1800.124	19.316	OK
27-12-2020	10:42:30.872	1830.126	19.320	OK
27-12-2020	10:43:00.872	1860.126	19.323	OK
27-12-2020	10:43:30.872	1890.126	19.333	OK
27-12-2020	10:44:00.873	1920.127	19.339	OK
27-12-2020	10:44:30.872	1950.125	19.351	OK
27-12-2020	10:45:00.872	1980.126	19.353	OK
27-12-2020	10:45:30.879	2010.133	19.371	OK
27-12-2020	10:46:00.874	2040.128	19.371	OK
27-12-2020	10:46:30.874	2070.128	19.375	OK
27-12-2020	10:47:00.874	2100.128	19.392	OK
27-12-2020	10:47:30.874	2130.127	19.393	OK
27-12-2020	10:48:00.875	2160.129	19.402	OK
27-12-2020	10:48:30.875	2190.129	19.408	OK
27-12-2020	10:49:00.876	2220.129	19.420	OK
27-12-2020	10:49:30.875	2250.129	19.428	OK
27-12-2020	10:50:00.875	2280.129	19.425	OK
27-12-2020	10:50:30.875	2310.129	19.439	OK
27-12-2020	10:51:00.875	2340.129	19.434	OK
27-12-2020	10:51:30.878	2370.132	19.449	OK
27-12-2020	10:52:00.875	2400.128	19.458	OK
27-12-2020	10:52:30.876	2430.130	19.468	OK
27-12-2020	10:53:00.876	2460.129	19.474	OK
27-12-2020	10:53:30.878	2490.131	19.478	OK
27-12-2020	10:54:00.877	2520.131	19.490	OK
27-12-2020	10:54:30.878	2550.132	19.488	OK
27-12-2020	10:55:00.877	2580.131	19.499	OK
27-12-2020	10:55:30.879	2610.132	19.507	OK
27-12-2020	10:56:00.881	2640.135	19.514	OK
27-12-2020	10:56:30.881	2670.134	19.518	OK
27-12-2020	10:57:00.883	2700.137	19.524	OK
27-12-2020	10:57:30.883	2730.137	19.534	OK
27-12-2020	10:58:00.883	2760.137	19.543	OK
27-12-2020	10:58:30.883	2790.137	19.549	OK
27-12-2020	10:59:00.883	2820.137	19.558	OK
27-12-2020	10:59:30.883	2850.137	19.560	OK
27-12-2020	11:00:00.883	2880.137	19.571	OK
27-12-2020	11:00:30.883	2910.137	19.577	OK
27-12-2020	11:01:00.884	2940.137	19.590	OK
27-12-2020	11:01:30.885	2970.139	19.596	OK
27-12-2020	11:02:00.885	3000.138	19.596	OK
27-12-2020	11:02:30.885	3030.138	19.605	OK
27-12-2020	11:03:00.885	3060.139	19.611	OK
27-12-2020	11:03:30.886	3090.140	19.613	OK
27-12-2020	11:04:00.885	3120.139	19.629	OK
27-12-2020	11:04:30.885	3150.139	19.631	OK
27-12-2020	11:05:00.887	3180.140	19.640	OK
27-12-2020	11:05:30.885	3210.139	19.642	OK
27-12-2020	11:06:00.885	3240.139	19.650	OK
27-12-2020	11:06:30.885	3270.139	19.660	OK
27-12-2020	11:07:00.886	3300.140	19.658	OK
27-12-2020	11:07:30.887	3330.141	19.675	OK
27-12-2020	11:08:00.887	3360.141	19.680	OK
27-12-2020	11:08:30.888	3390.142	19.688	OK
27-12-2020	11:09:00.889	3420.143	19.691	OK
27-12-2020	11:09:30.889	3450.143	19.697	OK
27-12-2020	11:10:00.889	3480.142	19.708	OK
27-12-2020	11:10:30.889	3510.143	19.711	OK
27-12-2020	11:11:00.890	3540.144	19.715	OK
27-12-2020	11:11:30.889	3570.143	19.716	OK
27-12-2020	11:12:00.890	3600.144	19.730	OK
27-12-2020	11:12:30.890	3630.144	19.734	OK
27-12-2020	11:13:00.890	3660.144	19.743	OK
27-12-2020	11:13:30.890	3690.144	19.750	OK
27-12-2020	11:14:00.890	3720.144	19.756	OK
27-12-2020	11:14:30.890	3750.144	19.764	OK
27-12-2020	11:15:00.890	3780.144	19.769	OK
27-12-2020	11:15:30.890	3810.144	19.775	OK
27-12-2020	11:16:00.890	3840.143	19.779	OK
27-12-2020	11:16:30.891	3870.145	19.792	OK
27-12-2020	11:17:00.890	3900.143	19.799	OK
27-12-2020	11:17:30.890	3930.144	19.809	OK
27-12-2020	11:18:00.891	3960.145	19.810	OK
27-12-2020	11:18:30.891	3990.145	19.819	OK
27-12-2020	11:19:00.891	4020.145	19.815	OK
27-12-2020	11:19:30.892	4050.146	19.827	OK
27-12-2020	11:20:00.892	4080.146	19.836	OK
27-12-2020	11:20:30.892	4110.146	19.844	OK
27-12-2020	11:21:00.893	4140.146	19.851	OK
27-12-2020	11:21:30.893	4170.147	19.853	OK
27-12-2020	11:22:00.893	4200.146	19.864	OK
27-12-2020	11:22:30.894	4230.148	19.866	OK
27-12-2020	11:23:00.894	4260.148	19.869	OK
27-12-2020	11:23:30.894	4290.148	19.884	OK
27-12-2020	11:24:00.895	4320.148	19.883	OK
27-12-2020	11:24:30.895	4350.149	19.895	OK
27-12-2020	11:25:00.896	4380.150	19.901	OK
27-12-2020	11:25:30.895	4410.148	19.902	OK
27-12-2020	11:26:00.895	4440.149	19.917	OK
27-12-2020	11:26:30.897	4470.151	19.913	OK
27-12-2020	11:27:00.896	4500.150	19.923	OK
27-12-2020	11:27:30.896	4530.150	19.929	OK
27-12-2020	11:28:00.896	4560.150	19.934	OK
