bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,salinity,dic_certified,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm,crm_batch_189,temperature_override,file_good,station_r,niskin_r,duplicate,stncode,analyte_volume,file_path,analysis_batch,blank_good,k_dic_good,reference_good,logfile_index,blank_here,blank_here_min,blank_here_max,blank_here_std,blank_here_count,analysis_datenum_scaled,blank,counts_corrected,temperature_analysis_dic,density_analysis_dic,k_dic_here,k_dic,dic,dic_offset,file_name,analyte_mass,titrant_molinity_here,titrant_molinity,alkalinity,alkalinity_gran,alkalinity_gran_estimate,alkalinity_npts,alkalinity_std,emf0,emf0_gran,emf0_gran_estimate,pH_initial,temperature_initial,alkalinity_offset,pH_alk_dic_25,flag_talk,flag_tco2
junk8,0,0.0,0.0,0,228166.0,16.0,C_Mar03-21_1003,data/VINDTA/SO279.dbs,2021-03-03 11:18:00,18689.470833333333,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158277,30.0,0.0,65.0,19.697715603592208,11.0,-1.217426466587925,27.412533754502874,227727.39945992795,25.0,1.0233430585162893,,,,,0-0  0  (0)junk8.dat,,,,,,,0.0,,,,,,,,,2,2
junk9,0,0.0,0.0,0,228466.0,16.0,C_Mar03-21_1003,data/VINDTA/SO279.dbs,2021-03-03 11:43:00,18689.488194444446,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158301,37.0,4.0,62.0,15.219604582129051,11.0,-0.8707788394041891,41.4330192747957,227803.07169160328,25.0,1.0233430585162893,,,,,0-0  0  (0)junk9.dat,,,,,,,0.0,,,,,,,,,2,2
junk10,0,0.0,0.0,0,228918.0,16.0,C_Mar03-21_1003,data/VINDTA/SO279.dbs,2021-03-03 13:10:00,18689.54861111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158325,72.72727272727273,54.0,111.0,15.35098995381026,11.0,0.33555490299182267,64.35825200404906,227888.26796793521,25.0,1.0233430585162893,,,,,0-0  0  (0)junk10.dat,,,,,,,0.0,,,,,,,,,2,2
junk11,0,0.0,0.0,0,228780.0,16.0,C_Mar03-21_1003,data/VINDTA/SO279.dbs,2021-03-03 13:32:00,18689.56388888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158349,56.27272727272727,27.0,92.0,21.55369999492139,11.0,0.6406048149280382,64.20936508527939,227752.65015863552,25.0,1.0233430585162893,,,,,0-0  0  (0)junk11.dat,,,,,,,0.0,,,,,,,,,2,2
junk12,0,0.0,0.0,0,228797.0,16.0,C_Mar03-21_1003,data/VINDTA/SO279.dbs,2021-03-03 14:06:00,18689.5875,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158373,61.0,48.0,77.0,8.903523306687486,11.0,1.1120455878543358,59.59152420266514,227843.53561275735,25.0,1.0233430585162893,,,,,0-0  0  (0)junk12.dat,,,,,,,0.0,,,,,,,,,2,2
mock1,0,0.0,0.0,0,230331.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 13:12:00,18690.55,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158401,35.63636363636363,17.0,48.0,7.678455423192246,11.0,-1.4369660698203615,34.21146687890314,229783.61652993754,25.0,1.0233430585162893,,,,,0-0  0  (0)mock1.dat,,,,,,,0.0,,,,,,,,,2,2
mock2,0,0.0,0.0,0,230467.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 13:36:00,18690.566666666666,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158425,40.09090909090909,25.0,54.0,9.375544061348172,11.0,-1.0605711374964433,38.13162471237683,229856.89400460199,25.0,1.0233430585162893,,,,,0-0  0  (0)mock2.dat,,,,,,,0.0,,,,,,,,,2,2
mock3,0,0.0,0.0,0,230123.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 13:57:00,18690.58125,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158449,35.27272727272727,21.0,51.0,8.507653336217702,11.0,-0.731225571702745,40.58961175463946,229473.56621192576,25.0,1.0233430585162893,,,,,0-0  0  (0)mock3.dat,,,,,,,0.0,,,,,,,,,2,2
mock4,0,0.0,0.0,0,230161.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 14:41:00,18690.611805555556,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158473,39.90909090909091,26.0,58.0,10.807863681383658,11.0,-0.04116819573448217,42.86948389916142,229475.08825761342,25.0,1.0233430585162893,,,,,0-0  0  (0)mock4.dat,,,,,,,0.0,,,,,,,,,2,2
mock5,0,0.0,0.0,0,230264.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 15:03:00,18690.627083333333,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158497,46.72727272727273,28.0,62.0,8.873770430481766,11.0,0.30386049220856975,42.58714496398352,229582.60568057626,25.0,1.0233430585162893,,,,,0-0  0  (0)mock5.dat,,,,,,,0.0,,,,,,,,,2,2
